inspectionId,timestamp,defectCount,types,qualityScore,status
insp_20260804T073225568335Z_598d97cc,2026-08-04T07:32:25.568335Z,4,inclusion,62,failed
insp_20260804T073225404799Z_772b763d,2026-08-04T07:32:25.404799Z,4,inclusion,62,failed
